F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:-0.62, GyroY:0.61, GyroZ:1.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.65, GyroY:0.84, GyroZ:0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:1.01, GyroY:1.27, GyroZ:0.54
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.39, GyroY:1.59, GyroZ:0.53
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:-0.07, GyroY:1.77, GyroZ:0.62
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:-0.91, GyroY:1.36, GyroZ:0.33
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.12, AccZ:0.86, GyroX:-1.26, GyroY:0.84, GyroZ:0.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.45, GyroY:1.65, GyroZ:1.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.12, AccZ:0.85, GyroX:-1.67, GyroY:0.69, GyroZ:0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:-1.90, GyroY:1.16, GyroZ:1.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-1.50, GyroY:1.33, GyroZ:1.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-1.58, GyroY:1.20, GyroZ:1.41
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:-0.62, GyroY:0.61, GyroZ:1.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.65, GyroY:0.84, GyroZ:0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:1.01, GyroY:1.27, GyroZ:0.54
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.39, GyroY:1.59, GyroZ:0.53
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:-0.07, GyroY:1.77, GyroZ:0.62
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:-0.91, GyroY:1.36, GyroZ:0.33
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.12, AccZ:0.86, GyroX:-1.26, GyroY:0.84, GyroZ:0.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.45, GyroY:1.65, GyroZ:1.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.12, AccZ:0.85, GyroX:-1.67, GyroY:0.69, GyroZ:0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:-1.90, GyroY:1.16, GyroZ:1.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-1.50, GyroY:1.33, GyroZ:1.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-1.58, GyroY:1.20, GyroZ:1.41
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:-0.62, GyroY:0.61, GyroZ:1.08
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.65, GyroY:0.84, GyroZ:0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:1.01, GyroY:1.27, GyroZ:0.54
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.39, GyroY:1.59, GyroZ:0.53
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:0.05, GyroY:1.42, GyroZ:0.57
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:-0.24, GyroY:1.17, GyroZ:0.48
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:0.07, GyroY:0.59, GyroZ:-0.36
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.10, AccZ:0.86, GyroX:-0.01, GyroY:0.53, GyroZ:-0.30
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.35, AccY:0.10, AccZ:0.84, GyroX:-0.33, GyroY:0.24, GyroZ:-0.51
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:-0.22, GyroY:0.52, GyroZ:-0.74
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:0.51, GyroY:0.81, GyroZ:-0.92
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:0.50, GyroY:0.56, GyroZ:-0.85
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.86, GyroX:-0.22, GyroY:0.18, GyroZ:-0.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:-0.42, GyroY:-0.26, GyroZ:-0.97
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.40, GyroY:-0.20, GyroZ:-0.72
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:0.76, GyroY:0.36, GyroZ:-0.89
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:0.77, GyroY:0.78, GyroZ:-0.27
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.87, GyroX:0.53, GyroY:0.69, GyroZ:-0.40
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:-0.04, GyroY:0.30, GyroZ:-0.11
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.87, GyroX:-0.76, GyroY:-0.25, GyroZ:0.18
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.85, GyroX:-0.21, GyroY:-0.14, GyroZ:0.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:0.08, GyroY:0.11, GyroZ:0.42
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:-0.37, GyroY:0.35, GyroZ:0.30
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-0.94, GyroY:0.43, GyroZ:0.37
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.12, AccZ:0.86, GyroX:-1.21, GyroY:0.23, GyroZ:0.47
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:-1.66, GyroY:-0.20, GyroZ:1.02
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.86, GyroX:-1.64, GyroY:0.06, GyroZ:1.06
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.86, GyroX:-1.67, GyroY:-0.29, GyroZ:1.35
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-2.51, GyroY:0.06, GyroZ:1.21
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-2.30, GyroY:0.24, GyroZ:1.44
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:-1.93, GyroY:0.70, GyroZ:1.34
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:-1.89, GyroY:0.49, GyroZ:1.58
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.86, GyroX:-2.10, GyroY:0.33, GyroZ:1.57
